word,base_word,phonetic,pos,meaning,level,collocation,etymology,example_en,example_zh
dual,dual,/'dju:әl/,n.,"a. 双重的, 双的；n. 双数",C1,,,,
supervise,supervise,/'sju:pәvaiz/,v.,"v. 监督, 管理, 指导",C1,,,,
precede,precede,/.pri:'si:d/,vt./vi.,"vt. 在...之前, 优于, 较...优先；vi. 在前面",B2,,,,
triangle,triangle,/'traiæŋgl/,n.,"n. 三角形, 三个一组, 三角关系",Beyond C1,,,,
shield,shield,/'ʃi:ld/,vt./vi./n.,"n. 盾, 防卫物, 保护者, 屏蔽；vt. 保护, 遮蔽, 屏蔽, 庇护, 挡开, 避开；vi. 起保护作用",Beyond C1,,,,
aspiration,aspiration,/.æspә'reiʃәn/,n.,"n. 热望, 志向, 渴望",C1,,,,
financing,finance,/fai'nænsiŋ/,n.,"n. 融资, 理财, 筹集的资金",B2,,,,
inclined,inclined,/in'klaind/,,"a. 倾向于...的, 想要...的, 可能的, 趋向于...的",C1,,,,
newcomer,newcomer,/nju:'kʌmә/,n.,n. 新来者,Beyond C1,,,,
fried,fry,/fraid/,,a. 油炸的,B1,,,,
substitute,substitute,/'sʌbstitju:t/,vt./vi./n.,"n. 代理, 代理人, 代用品, 代替者, 代替物；vt. 代替；vi. 替代, 取代, 代用；a. 代替的, 代用的, 代用品的",C1,,,,
supervision,supervision,/.sju:pә'viʒәn/,n.,"n. 监督, 管理",C1,,,,
calcium,calcium,/'kælsiәm/,n.,n. 钙,Beyond C1,,,,
quantum,quantum,/'kwɒntәm/,n.,"n. 量, 量子",Beyond C1,,,,
con,con,/kɒn/,vt./n./adv.,"vt. 精读, 仔细研究, 默记；adv. 反面地, 从反面；a. 欺诈的；n. 反对者, 反对票, 肺结核",Beyond C1,,,,
picnic,picnic,/'piknik/,vi./n.,"n. 野餐, 远足, 愉快的经历；vi. 去野餐, 远足",Beyond C1,,,,
gravel,gravel,/'grævәl/,n.,"n. 砂砾, 碎石",Beyond C1,,,,
textile,textile,/'tekstail/,n.,"n. 纺织品, 纺织业；a. 织的, 纺织的",Beyond C1,,,,
visiting,visit,/'vizitiŋ/,n.,"n. 参观, 拜访, 访问",A1,,,,
precedent,precedent,/'presidәnt/,n.,"n. 先例, 前例；a. 在先的, 在前的",C1,,,,
nationalism,nationalism,/'næʃәnәlizm/,n.,"n. 民族主义, 民族特性",Beyond C1,,,,
eternal,eternal,/i'tә:nl/,,"a. 永恒的, 永远的, 不灭的",C1,,,,
indictment,indictment,/in'daitmәnt/,n.,"n. 起诉, 控告, 起诉状",C1,,,,
interpreter,interpreter,/in'tә:pritә/,n.,"n. 直译程序, 解释者, 口译者, 注释器",B2,,,,
planned,plan,/plænd/,,"a. 计划了的, 预定的, 根据计划的, 有组织的",A1,,,,
calf,calf,/kɑ:f/,n.,"n. 小牛, 小牛皮, 腓肠",Beyond C1,,,,
nursery,nursery,/'nә:sәri/,n.,"n. 托儿所, 苗圃, 温床",C1,,,,
collision,collision,/kә'liʒәn/,n.,"n. 碰撞, 冲突, 抵触",C1,,,,
verify,verify,/'verifai/,vt.,"vt. 证明, 查证, 证实, 检验, 校验",C1,,,,
encompass,encompass,/in'kʌmpәs/,vt.,"vt. 围绕, 完成, 包括, 包含, 环绕, 包围",C1,,,,
clan,clan,/klæn/,n.,"n. 氏族, 宗族, 集团",Beyond C1,,,,
boxing,box,/'bɒksiŋ/,n.,n. 拳击,A1,,,,
diplomacy,diplomacy,/di'plәumәsi/,n.,"n. 外交, 外交手腕, 交际手段",Beyond C1,,,,
mat,mat,/mæt/,vt./vi./n.,"n. 垫, 丛, 衬边；a. 粗糙的, 无光泽的；vi. 纠缠在一起；vt. 铺席于...上, 使无光泽, 使缠结",Beyond C1,,,,
spice,spice,/spais/,vt./n.,"n. 香料, 药料, 香气, 调味品, 情趣, 少许；vt. 加香料, 使添趣味",B2,,,,
faction,faction,/'fækʃәn/,n.,"n. 小派系, 内讧",C1,,,,
sixty,sixty,/'siksti/,num.,"num. 六十, 六十个",A1,,,,
skillet,skillet,/'skilit/,n.,"n. 煮锅, 长柄浅锅",Beyond C1,,,,
immense,immense,/i'mens/,,"a. 极广大的, 无边的, 非常好的",C1,,,,
confused,confused,/kәn'fju:zd/,,"a. 困惑的, 混乱的",B1,,,,
hop,hop,/hɒp/,vt./vi./n.,"n. 单脚跳, 跳跃, 舞会, 飞行；vi. 单脚跳, 跳跃；vt. 跃过, 跳上, 加蛇麻子于, 服麻醉药",Beyond C1,,,,
thirteen,thirteen,/'θә:'ti:n/,num.,"num. 十三, 十三个",A1,,,,
bitch,bitch,/bitʃ/,n.,"n. 母狗, 母狼, 母狐",Beyond C1,,,,
ashamed,ashamed,/ә'ʃeimd/,,"a. 惭愧的, 羞耻的",B2,,,,
afterwards,afterwards,/'ɑ:ftәwәdz/,adv.,"adv. 然后, 后来",B2,,,,
instrumental,instrumental,/.instru'mentәl/,,"a. 仪器的, 器具的, 可作为手段的",C1,,,,
independently,independently,/.indi'pendәntli/,adv.,"adv. 独立地, 自立地",Beyond C1,,,,
aftermath,aftermath,/'ɑ:ftәmæθ/,n.,"n. 结果, 后果",C1,,,,
astronaut,astronaut,/'æstrәnɒ:t/,n.,"n. 太空旅行者, 宇航员",Beyond C1,,,,
useless,useless,/'ju:slis/,,"a. 无用的, 无效的, 无益的",B2,,,,
reproduction,reproduction,/.ri:prә'dʌkʃәn/,n.,"n. 再现, 复制, 生殖, 繁殖, 复制品",C1,,,,
crust,crust,/krʌst/,vt./vi./n.,"n. 外壳, 坚硬外皮, 面包皮；vt. 盖以硬皮；vi. 结硬皮",Beyond C1,,,,
gasp,gasp,/gæsp/,vt./vi./n.,"n. 喘气；vi. 喘气, 喘息, 渴望；vt. 气喘吁吁地说",Beyond C1,,,,
altar,altar,/'ɒ:ltә/,n.,"n. 圣坛, 祭坛",Beyond C1,,,,
flu,flu,/flu:/,n.,"n. 流感, 流行性感冒",A2,,,,
embarrassing,embarrassing,/im'bærәsiŋ/,,"a. 令人为难的, 麻烦的",B1,,,,
umbrella,umbrella,/ʌm'brelә/,vt./n.,"n. 伞, 雨伞, 保护伞；a. 伞的, 包罗万象的；vt. 用伞遮掩",A1,,,,
millennium,millennium,/mi'leniәm/,n.,"n. 千禧年, 一千年",Beyond C1,,,,
mosquito,mosquito,/mә'ski:tәu/,n.,n. 蚊子,B2,,,,
unconscious,unconscious,/.ʌn'kɒnʃәs/,,"a. 未意识到的, 无意识的, 无知觉的",B2,,,,
listing,list,/'listiŋ/,,"[计] 列表, 清单, 编目；[经] 挂牌, 上市, 编表",C1,,,,
intimacy,intimacy,/'intimәsi/,n.,"n. 亲密, 熟悉, 亲昵行为(言语)",Beyond C1,,,,
guardian,guardian,/'gɑ:diәn/,n.,"n. 看守者, 监护人, 保护人；a. 保护的",Beyond C1,,,,
obey,obey,/ә'bei/,vt./vi.,"vt. 服从, 遵从, 顺从；vi. 服从",B2,,,,
divert,divert,/dai'vә:t/,vt./vi.,"vt. 转移, 使欢娱；vi. 转移",C1,,,,
thoughtful,thoughtful,/'θɒ:tful/,,"a. 深思的, 体贴的",C1,,,,
vine,vine,/vain/,vi./n.,"n. 藤本植物, 葡萄, 藤, 蔓；vi. 形成藤蔓",Beyond C1,,,,
permanently,permanently,/'p\\\\:mәntli/,adv.,"adv. 永久, 不变, 持久",B2,,,,
shocked,shock,/ʃɔkt/,,a. 震撼的；震惊的,B2,,,,
simulation,simulation,/.simju'leiʃәn/,n.,"n. 模拟, 假冒物, 模仿",C1,,,,
methodology,methodology,/.meθә'dɒlәdʒi/,n.,"n. 方法学, 方法论",C1,,,,
passive,passive,/'pæsiv/,,"a. 消极的, 被动的, 冷漠的, 顺从的, 无源的",C1,,,,
awaken,awaken,/ә'weikәn/,vt./vi.,"vt. 唤醒, 唤起, 使意识到；vi. 觉醒, 意识到",Beyond C1,,,,
outrage,outrage,/'autreidʒ/,vt./n.,"n. 暴行, 侮辱, 愤怒；vt. 凌辱, 虐待, 触犯",C1,,,,
monopoly,monopoly,/mә'nɒpәli/,n.,"n. 垄断, 专卖权, 独占事业",C1,,,,
loudly,loudly,/'laudli/,adv.,"adv. 高声地, 大声地, 吵闹地",A2,,,,
nun,nun,/nʌn/,n.,"n. 修女, 尼姑",Beyond C1,,,,
attachment,attachment,/ә'tʃætʃmәnt/,n.,"n. 连接, 附属物, 连接物, 爱慕",B2,,,,
broth,broth,/brɒθ/,n.,"n. 原汁清汤, 肉汤",Beyond C1,,,,
summon,summon,/'sʌmәn/,vt.,"vt. 召唤, 召集, 号召, 振奋, 唤起, 鼓起",Beyond C1,,,,
optional,optional,/'ɒpʃәnl/,,"a. 可选择的, 随意的",Beyond C1,,,,
miner,miner,/'mainә/,n.,"n. 矿工, 开矿机, 坑道工兵",B2,,,,
aloud,aloud,/ә'laud/,adv.,"adv. 出声地, 大声地",Beyond C1,,,,
dangle,dangle,/'dæŋgl/,vt./vi./n.,"vi. 摇晃地悬挂着, 追求；vt. 使摇晃地悬挂；n. 悬垂",Beyond C1,,,,
cigar,cigar,/si'gɑ:/,n.,n. 雪茄,Beyond C1,,,,
delegation,delegation,/.deli'geiʃәn/,n.,"n. 代表团, 派遣代表团, 代表的地位(或权力)",C1,,,,
breed,breed,/bri:d/,v./n.,"n. 种类, 品种；v. 养育, 引起, 饲养, 繁殖",C1,,,,
haven,haven,/'heivn/,vt./n.,"n. 港, 避难所, 安息所；vt. 安置...于港中, 庇护, 入港",Beyond C1,,,,
mobility,mobility,/mәu'biliti/,n.,"n. 可动性, 流动性, 机动性",C1,,,,
assurance,assurance,/ә'ʃuәrәns/,n.,"n. 保证, 把握, 信心, 保险",C1,,,,
jerk,jerk,/dʒә:k/,vt./vi./n.,"n. 性情古怪的人, 急拉, 肌肉抽搐, 牛肉干；vi. 痉挛, 急拉, 急推；vt. 猛拉",Beyond C1,,,,
competing,compete,,,a. 相互矛盾的；抵触的,A2,,,,
mob,mob,/mɒb/,vt./vi./n.,"n. 暴民, 民众, 暴徒；vt. 大举包围, 蜂拥进入, 围攻；vi. 聚众生事",C1,,,,
weep,weep,/wi:p/,vt./vi./n.,"n. 哭, 哭泣；vi. 哭泣, 流泪, 哀悼, 滴落；vt. 哭着使..., 悲叹, 滴下",Beyond C1,,,,
consultation,consultation,/.kɒnsәl'teiʃәn/,n.,"n. 请教, 咨询, 磋商会",C1,,,,
liquor,liquor,/'likә/,vt./vi./n.,"n. 酒, 液体, 汁, 溶液；vt. 浸水；vi. 喝酒",Beyond C1,,,,
dioxide,dioxide,/dai'ɒksaid/,n.,n. 二氧化物,Beyond C1,,,,
accountable,accountable,/ә'kauntәbl/,,"a. 负有责任的, 可说明的, 可解释的",C1,,,,
affirm,affirm,/ә'fә:m/,v.,"v. 断言, 确认",Beyond C1,,,,
sip,sip,/sip/,vt./vi./n.,"n. 啜饮, 小口喝, 抿；vi. 啜饮；vt. 啜",Beyond C1,,,,
sadly,sadly,/'sædli/,adv.,"adv. 悲痛地, 悲惨地, 悲伤地, 说来遗憾",A2,,,,
span,span,/spæn/,vt./n.,"n. 指距, 全长, 跨距, 一段时间, 小范围；vt. 以手指测量, 跨越, 架设, 持续",C1,,,,
emergence,emergence,/i'mә:dʒәns/,n.,"n. 出现, 浮现, 发生",C1,,,,
lifelong,lifelong,/'laiflɒŋ/,,"a. 终身的, 毕生的",C1,,,,
linger,linger,/'liŋgә/,vt./vi.,"vi. 逗留, 消磨, 徘徊；vt. 消磨",C1,,,,
applaud,applaud,/ә'plɒ:d/,v.,"v. 拍手喝彩, 称赞, 赞同",C1,,,,
stabilize,stabilize,/'steibilaiz/,vt./vi.,"vt. 使安定, 使稳固；vi. 稳定, 安定",C1,,,,
cube,cube,/kju:b/,n.,"n. 立方体, 立方",Beyond C1,,,,
harbor,harbor,/'hɑ:bә/,v./n.,"n. 港, 避难所；v. 庇护, 藏匿, (使)入港停泊",B2,,,,
swiss,swiss,/swis/,n.,"n. 瑞士人, 瑞士腔调；a. 瑞士的, 瑞士风格的",Beyond C1,,,,
fax,fax,/fæks/,vt./n.,n. 传真；vt. 发传真,Beyond C1,,,,
underneath,underneath,/.ʌndә'ni:θ/,adv./prep.,adv. 在下面；prep. 在...的下面,Beyond C1,,,,
embassy,embassy,/'embәsi/,n.,"n. 大使馆, 大使馆全体人员",C1,,,,
preacher,preacher,/'pri:tʃә/,n.,"n. 传道士, 讲道者, 牧师",C1,,,,
dim,dim,/dim/,vt.,"a. 暗淡的, 模糊的；vt. 使暗淡",Beyond C1,,,,
injection,injection,/in'dʒekʃәn/,n.,"n. 注射, 注射剂",C1,,,,
facial,facial,/'feiʃәl/,n.,"n. 美颜, 脸部按摩；a. 脸的, 表面的, 脸部用的",Beyond C1,,,,
plantation,plantation,/plæn'teiʃәn/,n.,"n. 种植园, 大农场, 植树造林, 新开垦地",Beyond C1,,,,
predictable,predictable,/pri'diktәbl/,,a. 可预言的,B2,,,,
sunset,sunset,/'sʌnset/,n.,"n. 日落, 晚年",Beyond C1,,,,
presume,presume,/pri'zu:m/,vt./vi.,"vt. 假定, 推测, 擅自, 意味着；vi. 擅自行动, 相信",C1,,,,
excess,excess,/ik'ses/,n.,"n. 过度, 剩于, 超过, 超额；a. 过量的, 额外的",C1,,,,
nearest,near,,,a. 最近的（near的最高级）,A1,,,,
proponent,proponent,/prә'pәunәnt/,n.,"n. 建议者, 支持者",Beyond C1,,,,
constituent,constituent,/kәn'stitjuәnt/,n.,"n. 成分, 选民, 构成物；a. 构成的, 组织的, 选举的",Beyond C1,,,,
vietnamese,vietnamese,/'vjetnә'mi:z/,n.,n. 越南人；越南语,Beyond C1,,,,
antique,antique,/æn'ti:k/,n.,"n. 古董, 古物；a. 古老的, 古风的, 旧式的, 过时的",Beyond C1,,,,
polish,polish,/'pɒliʃ/,vt./vi./n.,"a. 波兰的；n. 波兰人, 上光剂, 光泽, 优雅；vt. 擦亮, 擦去, 使完美；vi. 擦亮, 变得光亮",Beyond C1,,,,
dairy,dairy,/'dєәri/,n.,"n. 牛奶公司, 乳品店, 乳牛场",B2,,,,
gardener,gardener,/'gɑ:dәnә/,n.,"n. 园丁, 花匠, 园艺家",A1,,,,
sweeping,sweep,/'swi:piŋ/,n.,"n. 扫除, 垃圾；a. 扫荡的, 彻底的, 广泛的",B2,,,,
saudi,saudi,/'sajdi/,,a. 沙乌地阿拉伯（人或语）的,Beyond C1,,,,
manipulation,manipulation,/mә.nipju'leiʃәn/,n.,"n. 操作, 处理",C1,,,,
wit,wit,/wit/,n.,"n. 机智, 智力, 头脑, 理智, 妙语, 机智的人",C1,,,,
skate,skate,/skeit/,vi./n.,"n. 溜冰, 冰鞋；vi. 滑冰, 滑过",Beyond C1,,,,
fabulous,fabulous,/'fæbjulәs/,,"a. 传说的, 寓言般的, 难以置信的",B2,,,,
legitimacy,legitimacy,/li'dʒitimәsi/,n.,"n. 合法, 正统, 正当",Beyond C1,,,,
intersection,intersection,/.intә'sekʃәn/,n.,"n. 交集, 十字路口, 交叉点",C1,,,,
curse,curse,/kә:s/,vt./n.,"n. 咒骂, 诅咒；vt. 诅咒, 咒骂",Beyond C1,,,,
resignation,resignation,/.rezig'neiʃәn/,n.,"n. 辞职, 辞呈, 听从",C1,,,,
culturally,culturally,,adv.,"adv. 从文化角度, 文化意义上；在人文学方面",Beyond C1,,,,
ma'am,ma'am,"/mæm, mɑ:m, mәm/",n.,"n. 夫人, 女王, 公主",Beyond C1,,,,
reconciliation,reconciliation,"/,rekәnsili'eiʃәn/",n.,"n. 和解, 和好, 复交, 调解, 调停, 和谐, 一致, 甘愿, 顺从",Beyond C1,,,,
deed,deed,/di:d/,vt./n.,"n. 行为, 实行, 契约；vt. 立契转让",C1,,,,
impairment,impairment,/im'peәmәnt/,n.,"n. 削弱, 减少, 损害, 损伤, 危害",Beyond C1,,,,
miserable,miserable,/'mizәrәbl/,,a. 悲惨的；痛苦的；卑鄙的,B2,,,,
closure,closure,/'klәuʒә/,vt./n.,n. 关闭；vt. 使终止,C1,,,,
machinery,machinery,/mә'ʃi:nәri/,n.,"n. 机器, 机械装置, 机构",C1,,,,
lively,lively,/'laivli/,,"a. 活泼的, 鲜明的, 生动的",B2,,,,
erase,erase,/i'reis/,vt.,"vt. 抹去, 擦掉",Beyond C1,,,,
terminal,terminal,/'tә:minәl/,n.,"n. 终端机, 终点, 末端, 极限, 终点站；a. 终点的, 定期的, 致死的, 结尾的, 末端的, 晚期的",B2,,,,
shave,shave,/ʃeiv/,vt./vi./n.,"n. 修面, 刮胡子, 幸免, 剃刀；vt. 修面, 剃, 修剪, 掠过；vi. 刮脸, 勉强通过",Beyond C1,,,,
coaching,coach,/'kәutʃiŋ/,n.,n. 辅导；教练技术,A2,,,,
irrelevant,irrelevant,/i'relәvәnt/,,"a. 不恰当的, 无关系的, 不相干的",C1,,,,
foolish,foolish,/'fu:liʃ/,,"a. 愚蠢的, 傻的",Beyond C1,,,,
armor,armor,/'ɑ:mә/,vt./n.,"n. 盔甲, 潜水服, 装甲；vt. 为...装甲",Beyond C1,,,,
frightened,frightened,/'frait(ә)nd/,,"a. 受惊吓的, 受惊的, (非正式)害怕...的",B1,,,,
neatly,neatly,/'ni:tli/,adv.,"adv. 整洁地, 干净地, 匀称地",Beyond C1,,,,
ignorance,ignorance,/'ignәrәns/,n.,"n. 无知, 愚味",C1,,,,
wetland,wetland,/'wetlænd/,n.,"n. 湿地, 沼泽地",Beyond C1,,,,
skier,skier,/'ski:ә/,n.,n. 滑雪的人,A2,,,,
reverend,reverend,/'revәrәnd/,n.,"n. 教士, 大人(对教士的尊称)；a. 应受尊敬的, 教士的",Beyond C1,,,,
playground,playground,/'pleigraund/,n.,"n. 运动场, 操场, 度假胜地, 活动场所",Beyond C1,,,,
embarrassment,embarrassment,/im'bærәsmәnt/,n.,"n. 困难, 阻碍, 困窘",C1,,,,
amateur,amateur,/'æmәtә/,n.,"n. 业余爱好者, 外行, 爱好者",C1,,,,
cellular,cellular,/'seljulә/,,a. 细胞的,Beyond C1,,,,
competent,competent,/'kɒmpitәnt/,,"a. 能干的, 胜任的, 有效的, 足够的",C1,,,,
primitive,primitive,/'primitiv/,n.,"n. 原始人, 早期艺术家；a. 原始的, 上古的",Beyond C1,,,,
balcony,balcony,/'bælkәni/,n.,"n. 阳台, 戏院楼厅",Beyond C1,,,,
brow,brow,/brau/,n.,"n. 眉毛, 额",Beyond C1,,,,
mosque,mosque,/mɒsk/,n.,n. 清真寺,B2,,,,
linear,linear,/'liniә/,,"a. 线的, 直线的, 线状的",C1,,,,
closing,close,/'klәuziŋ/,n.,n. 结束；a. 结束的,A1,,,,
excellence,excellence,/'ekslәns/,n.,"n. 优秀, 卓越, 优点",C1,,,,
reasoning,reason,/'ri:zniŋ/,n.,"n. 推论, 推理, 论证",C1,,,,
recycle,recycle,/.ri:'saikl/,vt./n.,"vt. 使再循环, 重新利用, 再制；n. 再循环",A2,,,,
par,par,/pɑ:/,n.,"n. 标准, 票面价值, 平均数量, 同等水平；a. 票面的, 平常的, 标准的, 平价的",Beyond C1,,,,
worship,worship,/'wә:ʃip/,vt./vi./n.,"n. 崇拜, 礼拜, 尊敬；vi. 参加礼拜；vt. 崇拜, 尊敬",C1,,,,
harmful,harmful,/'hɑ:mful/,,"a. 有害的, 伤害的",B2,,,,
ant,ant,/ænt/,n.,n. 蚂蚁,Beyond C1,,,,
coincidence,coincidence,/kәu'insidәns/,n.,"n. 巧合, 同时发生",B2,,,,
resentment,resentment,/ri'zentmәnt/,n.,"n. 怨恨, 愤恨",Beyond C1,,,,
dependence,dependence,/di'pendәns/,n.,"n. 依赖, 依存, 信赖",C1,,,,
feminine,feminine,/'feminin/,,"a. 女性的, 阴性的, 柔弱的",Beyond C1,,,,
justification,justification,/.dʒʌstifi'keiʃәn/,n.,"n. 辩护, 证明正当, 释罪",C1,,,,
tuition,tuition,/tju:'iʃәn/,n.,"n. 学费, 讲授",C1,,,,
destructive,destructive,/di'strʌktiv/,,"a. 毁灭性的, 破坏的, 有害的",C1,,,,
governmental,governmental,/.gʌvәn'mentl/,,"a. 政治的, 统治上的, 政府的",Beyond C1,,,,
repetition,repetition,/.repi'tiʃәn/,n.,"n. 重复, 背诵, 循环, 复制品, 副本",Beyond C1,,,,
niche,niche,/nitʃ/,vt./n.,"n. 壁龛；vt. 放入壁龛, 安顿",C1,,,,
inexpensive,inexpensive,/.inik'spensiv/,,"a. 便宜的, 不贵重的",Beyond C1,,,,
sleeping,sleep,/'sli:piŋ/,n.,n. 睡眠；a. 睡着的,A1,,,,
courtyard,courtyard,/'kɒ:tjɑ:d/,n.,"n. 庭院, 天井",Beyond C1,,,,
dividend,dividend,/'dividend/,n.,"n. 被除数, 股利",Beyond C1,,,,
terrify,terrify,/'terifai/,vt.,"vt. 使恐惧, 恐吓",B2,,,,
revise,revise,/ri'vaiz/,vt./n.,"n. 校订, 修正, 改样；vt. 校订, 修正, 校正",B1,,,,
bark,bark,/bɑ:k/,vt./vi./n.,"n. 树皮, 吠声；vi. 吠, 叫骂；vt. 喊出, 剥树皮",Beyond C1,,,,
fascinate,fascinate,/'fæsineit/,vt./vi.,"vt. 令人入神, 使着迷；vi. 入迷",Beyond C1,,,,
stab,stab,/stæb/,vt./vi./n.,"n. 刺, 戳, 剧痛, 尝试, 努力；vt. 刺, 戳, 刺入, 刺痛, 直入, 使伤心；vi. 刺, 刺伤",C1,,,,
generator,generator,/'dʒenәreitә/,n.,"n. 产生器, 发电机, 生产者",Beyond C1,,,,
cafe,cafe,/kɑ:'fei/,n.,"n. 咖啡馆, 酒店",A1,,,,
propaganda,propaganda,/.prɒpә'gændә/,n.,"n. 宣传, 宣传活动",C1,,,,
failed,fail,,,a. 已失败的,B2,,,,
parallel,parallel,/'pærәlel/,vt./n.,"n. 平行, 对比, 相匹敌之物；a. 平行的, 相似的；vt. 与...平行, 与...相似, 相比, 使平行",B2,,,,
underscore,underscore,/.ʌndә'skɒ:/,vt./n.,vt. 划线于...下；n. (表强调的)下划线,Beyond C1,,,,
formulate,formulate,/'fɒ:mjuleit/,vt.,"vt. 用公式表示, 明确叙述, 制订",C1,,,,
castle,castle,/'kæsl. 'kɑ:sl/,vt./n.,"n. 城堡, 象棋中的车；vt. 置于城堡中, 盘踞于",B2,,,,
prop,prop,/prɒp/,vt./n.,"n. 支柱, 支持者, 倚靠人, 道具, 螺旋桨；vt. 支撑, 维持",Beyond C1,,,,
microwave,microwave,/'maikrәuweiv/,n.,n. 微波,Beyond C1,,,,
incidence,incidence,/'insidәns/,n.,"n. 发生, 发生率, 影响, 负担者, 入射, 倾角",C1,,,,
technically,technically,/'teknikli/,adv.,"adv. 技术上, 学术上, 专门地",Beyond C1,,,,
fulfil,fulfil,/ful'fil/,vt.,"vt. 实践, 履行, 实行, 完成, 结束, 满足",Beyond C1,,,,
corrupt,corrupt,/kә'rʌpt/,vt./vi.,"a. 腐败的, 贪污的, 讹误充斥的；vt. 使腐烂, 腐蚀, 使恶化；vi. 腐烂, 堕落",C1,,,,
specimen,specimen,/'spesimәn/,n.,"n. 样品, 标本, 试料",C1,,,,
thorough,thorough,/'θʌrә/,,"a. 十分的, 彻底的",B2,,,,
obscure,obscure,/әb'skjuә/,vt.,"a. 模糊的, 昏暗的, 难解的, 晦涩的, 偏僻的, 微贱的, 无名的；vt. 使变暗, 隐藏, 使变模糊, 使难解",Beyond C1,,,,
wan,wan,/wɒn/,v.,"a. 苍白的, 无血色的, 病态的, 暗淡的；v. (使)变苍白",Beyond C1,,,,
monk,monk,/mʌŋk/,n.,"n. 修道士, 僧侣, 和尚",C1,,,,
spectacle,spectacle,/'spektәkl/,n.,"n. 引人羡慕的东西, 景象, 眼镜, 场面, 公开展示",C1,,,,
thrill,thrill,/θril/,vt./vi./n.,"n. 震颤, 激动, 刺激性, 一阵激动；vi. 震颤, 颤抖, 激动；vt. 使激动, 使颤动",Beyond C1,,,,
heroin,heroin,/'herәuin/,n.,"n. 海洛因, 吗啡",Beyond C1,,,,
outlook,outlook,/'autluk/,n.,"n. 观点, 景色, 前途, 了望",C1,,,,
reproductive,reproductive,/.ri:prә'dʌktiv/,,"a. 生殖的, 再生的, 复制的",Beyond C1,,,,
bout,bout,/baut/,n.,"n. 一回, 回合, 较量",Beyond C1,,,,
laptop,laptop,,,[计] 膝上型的,A2,,,,
recreation,recreation,/.rekri'eiʃәn/,n.,"n. 娱乐, 消遣, 休息, 再创造",Beyond C1,,,,
setup,setup,/'setʌp/,n.,"n. 装备, 组织, 计划, 机构, 调整, 设置",C1,,,,
spatial,spatial,/'speiʃәl/,,"a. 空间的, 受空间条件限制的, 占地位的",Beyond C1,,,,
sniff,sniff,/snif/,vt./vi./n.,"n. 以鼻吸气, 嗅, 气息；vi. 嗅, 蔑视, 嗤之以鼻；vt. 闻, 用力吸, 发觉",Beyond C1,,,,
varying,vary,,,[计] 改变,B2,,,,
cleanup,cleanup,/'kli:nʌp/,n.,"n. 清除, 暴利",Beyond C1,,,,
bored,bored,,,a. 无聊的；烦人的；无趣的,A1,,,,
matrix,matrix,/'meitriks/,n.,"n. 母体, 子宫, 基质, 脉石, 模型, 矩阵",Beyond C1,,,,
printer,printer,/'printә/,n.,"n. 印刷工, 打印机",A2,,,,
runway,runway,/'rʌnwei/,n.,"n. 跑道, 河床, 过道",Beyond C1,,,,
cone,cone,/kәun/,vt./n.,"n. 圆锥体, 球果；vt. 使成锥形",Beyond C1,,,,
locally,locally,/'lәukәli/,adv.,"adv. 地方性地, 局部性地, 在当地",Beyond C1,,,,
stroll,stroll,/strәul/,v./n.,"n. 闲逛, 漫步；v. 闲逛, 漫步",Beyond C1,,,,
nitrogen,nitrogen,/'naitrәdʒәn/,n.,n. 氮,Beyond C1,,,,
integral,integral,/'intigrәl/,n.,"n. 整体, 积分, 整数；a. 固有的, 整体的, 整数的, 积分的",C1,,,,
respective,respective,/ri'spektiv/,,"a. 分别的, 各自的",C1,,,,
transparent,transparent,/træns'pærәnt/,,"a. 透明的, 显然的, 清晰的",C1,,,,
rebound,rebound,/ri'baund/,vt./vi./n.,"vi. 弹回, 返回, 产生事与愿违的结果；vt. 使弹回, 使返回；n. 反弹, 返回, 篮板球, 振作；rebind的过去式和过去分词",Beyond C1,,,,
lineup,lineup,/'lainʌp/,n.,"n. 阵容, 阵形, 布阵, 一组人",C1,,,,
saying,say,/'seiiŋ/,n.,"n. 叙述, 话, 说, 言论",A1,,,,
circulate,circulate,/'sә:kjuleit/,v.,"v. (使)流通, (使)循环, (使)传播",C1,,,,
forecast,forecast,/'fɒ:kɑ:st/,vt./n.,"n. 预想, 预测, 预报；vt. 预想, 预测, 预报",B2,,,,
classification,classification,/.klæsifi'keiʃәn/,n.,"n. 分类, 分级",C1,,,,
endeavor,endeavor,/in'devә/,vi./n.,"n. 努力, 尽力；vi. 努力, 尽力",C1,,,,
easter,easter,/'i:stә/,n.,n. 复活节,A1,,,,
intriguing,intrigue,/in'tri:giŋ/,,"a. 吸引人的, 有趣的",C1,,,,
maximize,maximize,/'mæksimaiz/,vt.,"vt. 取...最大值, 使增加(或扩大)到最大限度",C1,,,,
advisor,advisor,/әd'vaizә/,n.,"n. 顾问, 劝告者, 指导教师",Beyond C1,,,,
paragraph,paragraph,/'pærәgrɑ:f/,vt./vi./n.,"n. 段落, 短评；vt. 将...分段, 分段落；vi. 写短讯",A1,,,,
breeding,breed,/'bri:diŋ/,n.,"n. 教养, 生育, 饲养",C1,,,,
footage,footage,/'futidʒ/,n.,"n. 英尺长度, 英板尺, (影片的)连续镜头",C1,,,,
preferred,prefer,/pri'fә:d/,,a. 首选的,A1,,,,
absurd,absurd,/әb'sә:d/,n.,"a. 荒谬的, 不合理的, 可笑的；n. 荒诞",C1,,,,
